tmpl;count
"зэрыхэлъ*";"326"
"гъэмахуэ*";"321"
"КъэкIуэж*";"307"
"загъэпсэ*";"305"
"зэрыIыгъ*";"303"
"*унэхъуащ";"302"
"къытекIу*";"299"
"къыдэхуэ*";"287"
"къыхуахь*";"287"
"щыгъуазэ*";"282"
"къытехуэ*";"278"
"игъуэтыж*";"273"
"*агъымкIэ";"270"
"къы*гъанэ";"270"
"къы*гъуэт";"268"
"*гупсысар";"256"
"зэдэпсэу*";"220"
"щыбгъуэт*";"220"
"*гъэджэгу";"212"
"дегупсыс*";"203"
"*ужэгъуащ";"203"
"уегупсыс*";"186"
"спектакл*";"123"
"*гъунэгъу";"121"
